id,unit_name,description,tags,active,created_at,updated_at
132,167,Evidence And Recovered Property Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
133,168,Auto Pound Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
134,169,Police Documents Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
135,170,Ct & Id Administration,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
136,171,Central Detention Unit,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
137,172,Equipment And Supply Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
138,173,Fleet Liaison Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
139,174,Electric And Motor Maintenance,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
140,175,Telecommunications Unit,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
141,176,Communication Operations Unit,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
142,177,Forensic Services Division,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
143,178,Facilities Management Division,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
144,179,Reproduction And Graphic Arts Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
145,180,Bureau Of  Detectives,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
146,184,Youth Investigation Division,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
147,187,Criminal Registration Unit,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
148,188,Bureau Of Organized Crime,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
149,189,Narcotics Division,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
150,190,Homan Square Arrest Processing,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
151,191,Intelligence Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
152,192,Vice & Asset Forfeiture Division,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
153,193,Gang Investigation Division,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
154,195,Management And Accountability,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
155,196,Asset Forfeiture Investigation Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
156,211,Bureau Of Patrol - Area Central,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
157,212,Bureau Of Patrol - Area South,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
158,213,Bureau Of Patrol - Area North,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
159,214,Deputy Chief - Area 4,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
160,214,Freedom Of Information Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
161,215,Deputy Chief Area 5,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
162,216,Deputy Chief Central Control Group,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
163,222,Timekeeping Unit - Headquarters,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
164,231,Medical Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
165,241,Troubled Building Unit,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
166,242,Fleet Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
167,251,Crime Lab Fed Grant,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
168,253,Targeted Response Unit,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
169,261,Court Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
170,276,Oemc - Detail Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
171,277,Forensic Services Evidence Technician Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
172,284,Admin School Securit,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
173,311,Gang Enforcement - Area Central,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
174,312,Gang Enforcement - Area South,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
175,313,Gang Enforcement - Area North,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
176,314,Gang Section - Area 4,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
177,315,Gang Section - Area 5,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
178,341,Canine Unit,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
179,353,Special Weapons And Tactics (Swat) Unit,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
180,376,Alternate Response Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
181,377,Forensic Services Unit - Et North,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
182,384,Juvenile Intervention Support Center (Jisc),{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
183,393,Gang Enforcement Division,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
184,411,Area Central Deputy Chief - Bureau Of Patrol,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
185,412,Area South Deputy Chief - Bureau Of Patrol,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
186,413,Area North Deputy Chief - Bureau Of Patrol,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
187,427,Domestic Viol Advoc,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
188,441,Special Activities Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
189,442,Bomb Squad,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
190,443,Bomb Unit - O'Hare Airport,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
191,477,Forensic Services Unit - Et South,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
192,541,Fop Detail,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
193,542,Detached Services - Goverment Security,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
194,543,Detached Services - Miscellaneous Detail,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
195,544,Chg Ptl Credit Union,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
196,547,Chicago Police Memorial Foundation,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
197,549,Inspector General Detail Unit,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
198,601,Det Div Admin.,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
199,602,Central Auto Theft,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
200,603,Arson Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
201,603,Bomb And Arson Division,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
202,604,Bomb And Arson Section - O'Hare Airport,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
203,605,Fbi Violent Crimes Task Force,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
204,606,Central Investigations Division,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
205,607,Cold Case Unit,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
206,608,Major Accident Investigation Unit,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
207,609,Financial Crimes Investigation Unit,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
208,610,Detective Area - Central,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
209,611,Predictive Analytics Group,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
210,611,Prop Crimes Dd Area1,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
211,612,Violent Crimes Dda 1,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
212,620,Detective Area - South,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
213,621,Prop Crimes Dda 2,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
214,622,Violent Crimes Dda 2,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
215,630,Detective Area - North,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
216,631,Prop Crimes Dda 3,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
217,632,Violent Crimes Dda 3,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
218,640,Detective Section - Area 4,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
219,641,Prop Crimes Dda 4,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
220,642,Violent Crimes Dda 4,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
221,650,Detective Section - Area 5,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
222,651,Prop Crimes Dda 5,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
223,652,Violent Crime Dda 5,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
225,701,Public Transportation Section,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
226,702,Cta Security Unit,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
227,703,Summer Mobile Force,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
228,704,Transit Security Unit,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
229,710,G/C Unit South,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
230,711,Violence Reduction Initiative North,{},true,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
231,712,Violence Reduction Initiative South,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
232,715,Public Housing South,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
233,716,Cha Community Policing - South,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
234,740,G/C Unit West,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
235,760,G/C Unit North,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
236,765,Public Housing North,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
237,766,Cha Community Policing - North,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
238,911,Unknown,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
239,912,Unknown,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
240,932,Patrol Area 2,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
241,944,Cops Grant Recr Trng,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
242,990,Maint Only Omi,{},false,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
243,263,Juvenile Court Unit,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
244,545,Pbpa Sergeant,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
245,720,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
246,028,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
247,031,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
248,040,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
249,041,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
250,047,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
251,052,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
252,054,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
253,056,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
254,064,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
255,093,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
256,095,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
257,185,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
258,194,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
259,271,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
260,272,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
261,273,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
262,274,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
263,275,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
264,661,,{},,2019-01-09T04:42:10.881224Z,2019-01-09T04:42:10.919043Z
